sam_th,energy,polarization,scan,q,R,R_err
1.68,285.0,100.0,4.0,0.008468623044995445,0.5556470663470464,0.5623681769684913
1.68,285.5,100.0,10.0,0.008483480278407719,0.7047761590637325,0.7205656338680638
1.68,286.0,100.0,5.0,0.00849833751181999,0.8013671201239576,0.8060987830978131
1.68,286.5,100.0,6.0,0.008513194745232263,0.5527139738485269,0.5593285530757977
1.68,287.0,100.0,7.0,0.008528051978644537,0.5619605756156762,0.569117370935321
1.68,287.7,100.0,8.0,0.008548852105421717,0.4271032216363088,0.43546127839356363
1.688,284.0,100.0,1.0,0.008479082257602725,0.6973033044305091,0.6998475362035323
1.688,284.2,100.0,2.0,0.008485053442291177,0.5184306312114474,0.5207893714285442
1.688,284.6,100.0,3.0,0.008496995811668084,0.46061305399424635,0.46574366232057446
1.704,250.0,100.0,0.0,0.0075347087321927415,0.791322593244265,0.7923613868964925
1.732,288.6,100.0,9.0,0.00884095057073082,0.4935584373904072,0.5060618629616938
1.74,285.0,100.0,4.0,0.008770982486770126,0.5239046642727443,0.530241818586934
1.74,285.5,100.0,10.0,0.008786370175343406,0.7199589372282401,0.7360885598798067
1.74,286.0,100.0,5.0,0.008801757863916689,0.6798552557628176,0.6838694533265715
1.74,286.5,100.0,6.0,0.008817145552489969,0.5169849982044721,0.523171992548261
1.74,287.0,100.0,7.0,0.00883253324106325,0.5239515102537059,0.53062424474615
1.74,287.7,100.0,8.0,0.008854076005065842,0.42893570637767,0.4373296233455231
1.75,284.0,100.0,1.0,0.008790422608608635,0.6184891056237254,0.6207457701537776
1.75,284.2,100.0,2.0,0.0087966130470654,0.5327273819995738,0.5351511691468239
1.75,284.6,100.0,3.0,0.008808993923978936,0.4417732225727639,0.4466939805808705
1.774,250.0,100.0,0.0,0.007844136189042523,0.774082375808091,0.7750985376934656
1.792,288.6,100.0,9.0,0.009147120867770501,0.4680505952997556,0.47990782503909385
1.802,285.0,100.0,4.0,0.00908341046800945,0.46562111819296975,0.4712532743449491
1.802,285.5,100.0,10.0,0.009099346275848064,0.7476967487051487,0.7644477962868998
1.802,286.0,100.0,5.0,0.009115282083686678,0.6816501920131904,0.6856749877574574
1.802,286.5,100.0,6.0,0.00913121789152529,0.5081645759450307,0.5142460122884549
1.802,287.0,100.0,7.0,0.009147153699363903,0.5117626857471567,0.5182801906274792
1.802,287.7,100.0,8.0,0.009169463830337963,0.4340434943061768,0.4425373664587436
1.812,284.0,100.0,1.0,0.009101752666475808,0.5679719499865338,0.5700442939323607
1.812,284.2,100.0,2.0,0.0091081623514522,0.5681670117850176,0.5707520411024277
1.812,284.6,100.0,3.0,0.009120981721404985,0.4030180478970253,0.4075071255171025
1.846,250.0,100.0,0.0,0.008162392210864197,0.8212558784293704,0.8223339664312173
1.854,288.6,100.0,9.0,0.009463486299399785,0.46446828715571137,0.4762347654867882
1.864,285.0,100.0,4.0,0.009395827813036127,0.5173313902900806,0.5235890342383235
1.864,285.5,100.0,10.0,0.00941231172148005,0.6448899220193436,0.659337733632067
1.864,286.0,100.0,5.0,0.009428795629923974,0.656182194238964,0.6600566144823395
1.864,286.5,100.0,6.0,0.009445279538367896,0.5329063128906143,0.5392838448404284
1.864,287.0,100.0,7.0,0.00946176344681182,0.5446064110647512,0.5515421940767294
1.864,287.7,100.0,8.0,0.009484840918633311,0.44930630184306014,0.45809885451407306
1.876,284.0,100.0,1.0,0.009423114446393712,0.5600724425072384,0.5621159637330346
1.876,284.2,100.0,2.0,0.009429750442482721,0.5111832551125778,0.5135090214341451
1.876,284.6,100.0,3.0,0.009443022434660742,0.3910943210402821,0.3954505844212456
1.914,288.6,100.0,9.0,0.009769635847479901,0.49001907174146514,0.5024328337762612
1.916,250.0,100.0,0.0,0.008471795434656017,0.8028026643587505,0.8038565282555313
1.926,285.0,100.0,4.0,0.009708234156025295,0.4710200395714194,0.47671750111241057
1.926,285.5,100.0,10.0,0.009725266145772708,0.6411538457170826,0.6555179560270832
1.926,286.0,100.0,5.0,0.009742298135520121,0.6821407947863439,0.6861684872890607
1.926,286.5,100.0,6.0,0.009759330125267534,0.5030181693504829,0.5090380163081379
1.926,287.0,100.0,7.0,0.009776362115014947,0.5071076356529756,0.5135658565867504
1.926,287.7,100.0,8.0,0.009800206900661324,0.4130989309189235,0.42118293529087303
1.938,284.0,100.0,1.0,0.009734422462715811,0.5511404346068935,0.553151365856201
1.938,284.2,100.0,2.0,0.00974127768980223,0.48327423523048263,0.48547302192613195
1.938,284.6,100.0,3.0,0.00975498814397507,0.38841901598017037,0.3927454800701719
1.976,288.6,100.0,9.0,0.010085979121341442,0.44659064840530793,0.4579042285412128
1.986,250.0,100.0,0.0,0.008781186013232727,0.7962095090045065,0.797254717862257
